00FR               20251118                                                                                   
0601FRA0N       20260101000000100000005000 0000000000000000   
0601FRA0N       20260101000005100000005000 0000000000000000   
0601FRA0N       20260101000010100000005000 0000000000000000   
0601FRA0N       20260101000015100000005000 0000000000000000   
0601FRA0N       20260101000020100000005000 0000000000000000   
0601FRA0N       20260101000025100000005000 0000000000000000   
0601FRA0N       20260101000030100000005000 0000000000000000   
0601FRA0N       20260101000035100000005000 0000000000000000   
0601FRA0N       20260101000040100000005000 0000000000000000   
0601FRA0N       20260101000045100000005000 0000000000000000   
0601FRA0N       20260101000050100000005000 0000000000000000   
0601FRA0N       20260101000055100000005000 0000000000000000   
0601FRA0N       20260101000060100000005000 0000000000000000   
0601FRA0N       20260101000065100000005000 0000000000000000   
0601FRA0N       20260101000070100000005000 0000000000000000   
0601FRA0N       20260101000075100000005000 0000000000000000   
0601FRA0N       20260101000080100000005000 0000000000000000   
0601FRA0N       20260101000085100000005000 0000000000000000   
0601FRA0N       20260101000090100000005000 0000000000000000   
0601FRA0N       20260101000095100000005000 0000000000000000   
0601FRA0N       20260101000100100000005000 0000000000000000   
0601FRA0N       20260101000105100000005000 0000000000000000   
0601FRA0N       20260101000110100000005000 0000000000000000   
0601FRA0N       20260101000115100000005000 0000000000000000   
0601FRA0N       20260101000120100000005000 0000000000000000   
0601FRA0N       20260101000125100000005000 0000000000000000   
0601FRA0N       20260101000130100000005000 0000000000000000   
0601FRA0N       20260101000135100000005000 0000000000000000   
0601FRA0N       20260101000140100000005000 0000000000000000   
0601FRA0N       20260101000145100000005000 0000000000000000   
0601FRA0N       20260101000150100000005000 0000000000000000   
0601FRA0N       20260101000155100000005000 0000000000000060   
0601FRA0N       20260101000160100000005000 0000000000000071   
0601FRA0N       20260101000165100000005000 0000000000000082   
0601FRA0N       20260101000170100000005000 0000000000000094   
0601FRA0N       20260101000175100000005000 0000000000000106   
0601FRA0N       20260101000180100000005000 0000000000000115   
0601FRA0N       20260101000185100000005000 0000000000000128   
