00JU               20251117                                                                                   
0601JUA0Y       20260101000000100000050000 0000000000000000   
0601JUA0Y       20260101000050100000005000 0000000000000000   
0601JUA0Y       20260101000055100000005000 0000000000000000   
0601JUA0Y       20260101000060100000005000 0000000000000000   
0601JUA0Y       20260101000065100000005000 0000000000000000   
0601JUA0Y       20260101000070100000005000 0000000000000000   
0601JUA0Y       20260101000075100000005000 0000000000000000   
0601JUA0Y       20260101000080100000005000 0000000000000000   
0601JUA0Y       20260101000085100000005000 0000000000000000   
0601JUA0Y       20260101000090100000005000 0000000000000008   
0601JUA0Y       20260101000095100000005000 0000000000000029   
0601JUA0Y       20260101000100100000005000 0000000000000055   
0601JUA0Y       20260101000105100000005000 0000000000000078   
0601JUA0Y       20260101000110100000005000 0000000000000100   
0601JUA0Y       20260101000115100000005000 0000000000000114   
0601JUA0Y       20260101000120100000005000 0000000000000132   
0601JUA0Y       20260101000125100000005000 0000000000000149   
0601JUA0Y       20260101000130100000005000 0000000000000164   
0601JUA0Y       20260101000135100000005000 0000000000000179   
0601JUA0Y       20260101000140100000005000 0000000000000187   
0601JUA0Y       20260101000145100000005000 0000000000000200   
0601JUA0Y       20260101000150100000005000 0000000000000212   
0601JUA0Y       20260101000155100000005000 0000000000000223   
0601JUA0Y       20260101000160100000005000 0000000000000234   
0601JUA0Y       20260101000165100000005000 0000000000000239   
0601JUA0Y       20260101000170100000005000 0000000000000253   
0601JUA0Y       20260101000175100000005000 0000000000000265   
0601JUA0Y       20260101000180100000005000 0000000000000273   
0601JUA0Y       20260101000185100000005000 0000000000000285   
0601JUA0Y       20260101000190100000005000 0000000000000306   
0601JUA0Y       20260101000195100000005000 0000000000000331   
0601JUA0Y       20260101000200100000005000 0000000000000356   
0601JUA0Y       20260101000205100000005000 0000000000000379   
0601JUA0Y       20260101000210100000005000 0000000000000402   
0601JUA0Y       20260101000215100000005000 0000000000000424   
0601JUA0Y       20260101000220100000005000 0000000000000446   
0601JUA0Y       20260101000225100000005000 0000000000000467   
0601JUA0Y       20260101000230100000005000 0000000000000487   
0601JUA0Y       20260101000235100000005000 0000000000000506   
0601JUA0Y       20260101000240100000005000 0000000000000524   
0601JUA0Y       20260101000245100000005000 0000000000000541   
0601JUA0Y       20260101000250100000005000 0000000000000558   
0601JUA0Y       20260101000255100000005000 0000000000000575   
0601JUA0Y       20260101000260100000005000 0000000000000590   
0601JUA0Y       20260101000265100000005000 0000000000000605   
0601JUA0Y       20260101000270100000005000 0000000000000620   
0601JUA0Y       20260101000275100000005000 0000000000000633   
0601JUA0Y       20260101000280100000005000 0000000000000647   
0601JUA0Y       20260101000285100000005000 0000000000000660   
0601JUA0Y       20260101000290100000005000 0000000000000672   
0601JUA0Y       20260101000295100000005000 0000000000000684   
0601JUA0Y       20260101000300100000005000 0000000000000696   
0601JUA0Y       20260101000305100000005000 0000000000000707   
0601JUA0Y       20260101000310100000005000 0000000000000718   
0601JUA0Y       20260101000315100000005000 0000000000000729   
0601JUA0Y       20260101000320100000005000 0000000000000739   
0601JUA0Y       20260101000325100000005000 0000000000000749   
0601JUA0Y       20260101000330100000005000 0000000000000762   
0601JUA0Y       20260101000335100000005000 0000000000000777   
0601JUA0Y       20260101000340100000005000 0000000000000792   
0601JUA0Y       20260101000345100000005000 0000000000000805   
0601JUA0Y       20260101000350100000005000 0000000000000819   
0601JUA0Y       20260101000355100000005000 0000000000000832   
0601JUA0Y       20260101000360100000005000 0000000000000845   
0601JUA0Y       20260101000365100000005000 0000000000000858   
0601JUA0Y       20260101000370100000005000 0000000000000870   
0601JUA0Y       20260101000375100000005000 0000000000000882   
0601JUA0Y       20260101000380100000005000 0000000000000893   
0601JUA0Y       20260101000385100000005000 0000000000000904   
0601JUA0Y       20260101000390100000005000 0000000000000915   
0601JUA0Y       20260101000395100000005000 0000000000000926   
0601JUA0Y       20260101000400100000005000 0000000000000937   
0601JUA0Y       20260101000405100000005000 0000000000000947   
0601JUA0Y       20260101000410100000005000 0000000000000957   
0601JUA0Y       20260101000415100000005000 0000000000000967   
0601JUA0Y       20260101000420100000005000 0000000000000976   
0601JUA0Y       20260101000425100000005000 0000000000000985   
0601JUA0Y       20260101000430100000005000 0000000000000994   
0601JUA0Y       20260101000435100000005000 0000000000001003   
0601JUA0Y       20260101000440100000005000 0000000000001012   
0601JUA0Y       20260101000445100000005000 0000000000001021   
0601JUA0Y       20260101000450100000005000 0000000000001029   
0601JUA0Y       20260101000455100000005000 0000000000001037   
0601JUA0Y       20260101000460100000005000 0000000000001045   
0601JUA0Y       20260101000465100000005000 0000000000001053   
0601JUA0Y       20260101000470100000005000 0000000000001060   
0601JUA0Y       20260101000475100000005000 0000000000001068   
0601JUA0Y       20260101000480100000005000 0000000000001075   
0601JUA0Y       20260101000485100000005000 0000000000001082   
0601JUA0Y       20260101000490100000005000 0000000000001089   
0601JUA0Y       20260101000495100000005000 0000000000001096   
0601JUA0Y       20260101000500100000005000 0000000000001105   
0601JUA0Y       20260101000505100000005000 0000000000001113   
0601JUA0Y       20260101000510100000005000 0000000000001120   
0601JUA0Y       20260101000515100000005000 0000000000001128   
0601JUA0Y       20260101000520100000005000 0000000000001136   
0601JUA0Y       20260101000525100000005000 0000000000001144   
0601JUA0Y       20260101000530100000005000 0000000000001151   
0601JUA0Y       20260101000535100000005000 0000000000001155   
0601JUA0Y       20260101000540100000005000 0000000000001162   
0601JUA0Y       20260101000545100000005000 0000000000001169   
0601JUA0Y       20260101000550100000005000 0000000000001178   
0601JUA0Y       20260101000555100000005000 0000000000001188   
0601JUA0Y       20260101000560100000005000 0000000000001198   
0601JUA0Y       20260101000565100000005000 0000000000001208   
0601JUA0Y       20260101000570100000005000 0000000000001217   
0601JUA0Y       20260101000575100000005000 0000000000001226   
0601JUA0Y       20260101000580100000005000 0000000000001236   
0601JUA0Y       20260101000585100000005000 0000000000001245   
0601JUA0Y       20260101000590100000005000 0000000000001253   
0601JUA0Y       20260101000595100000005000 0000000000001262   
0601JUA0Y       20260101000600100000005000 0000000000001271   
0601JUA0Y       20260101000605100000005000 0000000000001279   
0601JUA0Y       20260101000610100000005000 0000000000001287   
0601JUA0Y       20260101000615100000005000 0000000000001295   
0601JUA0Y       20260101000620100000005000 0000000000001303   
0601JUA0Y       20260101000625100000005000 0000000000001311   
0601JUA0Y       20260101000630100000005000 0000000000001319   
0601JUA0Y       20260101000635100000005000 0000000000001327   
0601JUA0Y       20260101000640100000005000 0000000000001334   
0601JUA0Y       20260101000645100000005000 0000000000001342   
0601JUA0Y       20260101000650100000005000 0000000000001349   
0601JUA0Y       20260101000655100000005000 0000000000001357   
0601JUA0Y       20260101000660100000005000 0000000000001364   
0601JUA0Y       20260101000665100000005000 0000000000001371   
0601JUA0Y       20260101000670100000005000 0000000000001378   
0601JUA0Y       20260101000675100000005000 0000000000001385   
0601JUA0Y       20260101000680100000005000 0000000000001392   
0601JUA0Y       20260101000685100000005000 0000000000001398   
0601JUA0Y       20260101000690100000005000 0000000000001405   
0601JUA0Y       20260101000695100000005000 0000000000001412   
0601JUA0Y       20260101000700100000005000 0000000000001418   
0601JUA0Y       20260101000705100000005000 0000000000001424   
0601JUA0Y       20260101000710100000005000 0000000000001431   
0601JUA0Y       20260101000715100000005000 0000000000001437   
0601JUA0Y       20260101000720100000005000 0000000000001443   
0601JUA0Y       20260101000725100000005000 0000000000001449   
0601JUA0Y       20260101000730100000005000 0000000000001455   
0601JUA0Y       20260101000735100000005000 0000000000001461   
0601JUA0Y       20260101000740100000005000 0000000000001467   
0601JUA0Y       20260101000745100000005000 0000000000001472   
0601JUA0Y       20260101000750100000005000 0000000000001478   
0601JUA0Y       20260101000755100000005000 0000000000001483   
0601JUA0Y       20260101000760100000005000 0000000000001489   
0601JUA0Y       20260101000765100000005000 0000000000001494   
0601JUA0Y       20260101000770100000005000 0000000000001500   
0601JUA0Y       20260101000775100000005000 0000000000001505   
0601JUA0Y       20260101000780100000005000 0000000000001510   
0601JUA0Y       20260101000785100000005000 0000000000001515   
0601JUA0Y       20260101000790100000005000 0000000000001520   
0601JUA0Y       20260101000795100000005000 0000000000001525   
0601JUA0Y       20260101000800100000005000 0000000000001530   
0601JUA0Y       20260101000805100000005000 0000000000001535   
0601JUA0Y       20260101000810100000005000 0000000000001540   
0601JUA0Y       20260101000815100000005000 0000000000001545   
0601JUA0Y       20260101000820100000005000 0000000000001549   
0601JUA0Y       20260101000825100000005000 0000000000001555   
0601JUA0Y       20260101000830100000005000 0000000000001562   
0601JUA0Y       20260101000835100000005000 0000000000001567   
0601JUA0Y       20260101000840100000005000 0000000000001573   
0601JUA0Y       20260101000845100000005000 0000000000001579   
0601JUA0Y       20260101000850100000005000 0000000000001585   
0601JUA0Y       20260101000855100000005000 0000000000001591   
0601JUA0Y       20260101000860100000005000 0000000000001596   
0601JUA0Y       20260101000865100000005000 0000000000001602   
0601JUA0Y       20260101000870100000005000 0000000000001608   
0601JUA0Y       20260101000875100000005000 0000000000001613   
0601JUA0Y       20260101000880100000005000 0000000000001618   
0601JUA0Y       20260101000885100000005000 0000000000001624   
0601JUA0Y       20260101000890100000005000 0000000000001630   
0601JUA0Y       20260101000895100000005000 0000000000001632   
0601JUA0Y       20260101000900100000005000 0000000000001638   
0601JUA0Y       20260101000905100000005000 0000000000001643   
0601JUA0Y       20260101000910100000005000 0000000000001648   
0601JUA0Y       20260101000915100000005000 0000000000001654   
0601JUA0Y       20260101000920100000005000 0000000000001659   
0601JUA0Y       20260101000925100000005000 0000000000001664   
0601JUA0Y       20260101000930100000005000 0000000000001669   
0601JUA0Y       20260101000935100000005000 0000000000001674   
0601JUA0Y       20260101000940100000005000 0000000000001679   
0601JUA0Y       20260101000945100000005000 0000000000001684   
0601JUA0Y       20260101000950100000005000 0000000000001691   
0601JUA0Y       20260101000955100000005000 0000000000001696   
0601JUA0Y       20260101000960100000005000 0000000000001701   
0601JUA0Y       20260101000965100000005000 0000000000001706   
0601JUA0Y       20260101000970100000005000 0000000000001711   
0601JUA0Y       20260101000975100000005000 0000000000001717   
0601JUA0Y       20260101000980100000005000 0000000000001726   
0601JUA0Y       20260101000985100000005000 0000000000001731   
0601JUA0Y       20260101000990100000005000 0000000000001737   
0601JUA0Y       20260101000995100000005000 0000000000001743   
0601JUA0Y       20260101001000100000005000 0000000000001749   
0601JUA0Y       20260101001005100000005000 0000000000001755   
0601JUA0Y       20260101001010100000005000 0000000000001762   
0601JUA0Y       20260101001015100000005000 0000000000001768   
0601JUA0Y       20260101001020100000005000 0000000000001774   
0601JUA0Y       20260101001025100000005000 0000000000001779   
